Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
3,M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113599
3,M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113599
3,M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113599
5,M010,FREDERICK DOUGLAS ACADEMY - M,DOE - RESOA,FY25 RESO A CULINARY KITCHEN,Construction,PNS,PNS,PNS,PNS,DOER,"$150,000.00 ",$0.00 ,DSF0001112757
5,M010,FREDERICK DOUGLAS ACADEMY - M,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,1/13/2025,DOES,,DOES,"$65,832.00 ",$0.00 ,DSF0001084937
5,M010,FREDERICK DOUGLAS ACADEMY - M,DOE - Skilled Trades,FACILITY ENHANCEMENT,Construction,In-Progress,7/16/2024,DOES,,DOES,"$704,000.00 ",$0.00 ,DSF0001112130
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,ROOF LEAK / EXTERIOR MASONRY / WINDOWS,"CM,F&E",PNS,PNS,PNS,PNS,1531540,"$1,531,540.00 ","$134,760.00 ","DSF0001068033, DSF0001068034, DSF0001083841"
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,PATH OF TRAVEL ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,20453,"$20,453.00 ","$1,918.00 ",DSF0001114001
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,11/17/2022,9/12/2023,,252923,"$245,483.00 ","$240,367.00 ",DSF0000960786
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,11/17/2022,9/12/2023,,359888,"$317,851.00 ","$285,537.00 ",DSF0000960786
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,ROOF LEAK / EXTERIOR MASONRY / WINDOWS,Construction,PNS,PNS,PNS,PNS,24614044,"$24,614,044.00 ","$33,485.00 ","DSF0001068033, DSF0001068034, DSF0001083841"
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,PATH OF TRAVEL ROOFS,Construction,PNS,PNS,PNS,PNS,79731,"$79,731.00 ",$0.00 ,DSF0001114001
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,8/18/2021,2/16/2022,12/22/2021,27922,"$34,582.00 ","$34,582.00 ",DSF0000960786
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,PATH OF TRAVEL ROOFS,Design,In-Progress,4/30/2025,8/28/2025,,5546,"$5,546.00 ",$952.00 ,DSF0001114001
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,ROOF LEAK / EXTERIOR MASONRY / WINDOWS,Design,Complete,2/9/2023,7/13/2023,11/29/2023,1093958,"$510,095.00 ","$487,602.00 ","DSF0001068033, DSF0001068034, DSF0001083841"
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/28/2021,11/29/2021,8/18/2021,6205,"$8,646.00 ","$8,646.00 ",DSF0000960786
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,ROOF LEAK / EXTERIOR MASONRY / WINDOWS,Scope,Complete,10/7/2022,1/11/2023,1/27/2023,218792,"$265,694.00 ","$265,694.00 ","DSF0001068033, DSF0001068034, DSF0001083841"
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,PATH OF TRAVEL ROOFS,Scope,Complete,2/13/2025,5/15/2025,4/10/2025,1387,$238.00 ,$238.00 ,DSF0001114001
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP RESOA,PATH OF TRAVEL RESO A CULINARY KITCHEN,"CM,F&E",PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113600
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP RESOA,PATH OF TRAVEL RESO A CULINARY KITCHEN,Construction,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113600
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP RESOA,PATH OF TRAVEL RESO A CULINARY KITCHEN,Design,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113600
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP RESOA,PATH OF TRAVEL RESO A CULINARY KITCHEN,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113600
2,M011,P.S. 11 - MANHATTAN,DOE - RESOA,FY20 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/6/2022,DOER,,DOER,"$32,577.00 ",$0.00 ,DSF0000913294
2,M011,P.S. 11 - MANHATTAN,DOE - RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,2/3/2021,DOER,,DOER,"$274,039.00 ",$0.00 ,DSF0000890809
2,M011,P.S. 11 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$429,332.00 ",$0.00 ,DSF0000913072
2,M011,P.S. 11 - MANHATTAN,DOE - RESOA,FY23 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$135,418.00 ",$0.00 ,DSF0001035618
2,M011,P.S. 11 - MANHATTAN,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,"$450,000.00 ",$0.00 ,DSF0001112758
4,M013,P.S. 497 - MANHATTAN,DOE - RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,In-Progress,7/16/2018,DOER,,DOER,"$127,861.00 ",$0.00 ,DSF0000866429
4,M013,CENTRAL PARK EAST HS - MANHATTAN,DOE - RESOA,FY24 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$361,024.00 ",$0.00 ,DSF0001086172
4,M013,P.S. 497 - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$218,617.00 ",$0.00 ,DSF0001086171
4,M013,CENTRAL PARK EAST HS - MANHATTAN,DOE - RESOA,FY20 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,3/5/2020,DOER,,DOER,"$75,000.00 ",$0.00 ,DSF0000913339
4,M013,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II - M,DOE - RESOA,FY20 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,5/9/2022,DOER,,DOER,"$37,611.00 ",$0.00 ,DSF0000913295
4,M013,P.S. 497 - MANHATTAN,DOE - RESOA,FY20 RESO A BATHROOM UPGRADES,Construction,In-Progress,7/15/2023,DOER,,DOER,"$105,962.00 ",$0.00 ,DSF0000913073
4,M013,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II - M,DOE - RESOA,FY19 RESO A TOILET STUDENTS,Construction,In-Progress,6/21/2019,DOER,,DOER,"$79,836.00 ",$0.00 ,DSF0000889851
4,M013,CENTRAL PARK EAST HS - MANHATTAN,DOE - Skilled Trades,GYM CEILING,Construction,In-Progress,5/5/2023,DOES,,DOES,"$167,171.00 ",$0.00 ,DSF0001085127
4,M013,P.S. 497 - MANHATTAN,DOE - Skilled Trades,ACE BOILER BURNER CONVERSIONS,Construction,In-Progress,4/29/2022,DOES,,DOES,"$3,390,158.00 ",$0.00 ,DSF0000912464
4,M013,P.S. 497 - MANHATTAN,SCA CIP,PATH OF TRAVEL IDA FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,134904,"$134,904.00 ","$5,278.00 ",DSF0001083734
4,M013,P.S. 497 - MANHATTAN,SCA CIP,IDA FLOOD ELIMINATION / IDA ELECTRICAL UPGRADE / IDA ROOFS / IDA HEATING PLANT UPGRADE / IDA INTERIOR SPACES / NON-IDA PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,1349794,"$1,349,794.00 ","$173,692.00 ","DSF0001123513, DSF0001083709, DSF0001068069, DSF0001068072, DSF0001083710, DSF0001086883"
4,M013,P.S. 497 - MANHATTAN,SCA CIP,IDA FLOOD ELIMINATION / IDA ELECTRICAL UPGRADE / IDA ROOFS / IDA HEATING PLANT UPGRADE / IDA INTERIOR SPACES / NON-IDA PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,13524077,"$13,524,077.00 ","$242,524.00 ","DSF0001123513, DSF0001083709, DSF0001068069, DSF0001068072, DSF0001083710, DSF0001086883"
4,M013,P.S. 497 - MANHATTAN,SCA CIP,PATH OF TRAVEL IDA FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,525895,"$525,895.00 ",$53.00 ,DSF0001083734
4,M013,P.S. 497 - MANHATTAN,SCA CIP,PATH OF TRAVEL IDA FLOOD ELIMINATION,Design,In-Progress,3/28/2023,7/27/2023,,36584,"$36,584.00 ",$0.00 ,DSF0001083734
4,M013,P.S. 497 - MANHATTAN,SCA CIP,IDA FLOOD ELIMINATION / IDA ELECTRICAL UPGRADE / IDA ROOFS / IDA HEATING PLANT UPGRADE / IDA INTERIOR SPACES / NON-IDA PLAYGROUND UPGRADE,Design,In-Progress,12/23/2022,5/26/2023,,828121,"$847,877.00 ","$450,788.00 ","DSF0001123513, DSF0001083709, DSF0001068069, DSF0001068072, DSF0001083710, DSF0001086883"
4,M013,P.S. 497 - MANHATTAN,SCA CIP,IDA FLOOD ELIMINATION / IDA ELECTRICAL UPGRADE / IDA ROOFS / IDA HEATING PLANT UPGRADE / IDA INTERIOR SPACES / NON-IDA PLAYGROUND UPGRADE,Scope,Complete,1/21/2022,6/7/2022,12/21/2022,177527,"$252,675.00 ","$251,331.00 ","DSF0001123513, DSF0001083709, DSF0001068069, DSF0001068072, DSF0001083710, DSF0001086883"
4,M013,P.S. 497 - MANHATTAN,SCA CIP,PATH OF TRAVEL IDA FLOOD ELIMINATION,Scope,Complete,1/25/2023,4/26/2023,3/27/2023,9146,"$12,871.00 ",$0.00 ,DSF0001083734
4,M013,P.S. 497 - MANHATTAN,SCA IEH,PO18-ABATE AND REPLACE CEILING TILES IN THE CAFETERIA AHERA BOOK SPACE ID#: 1004,Construction,In-Progress,5/5/2025,IEH,,IEH,"$22,269.00 ","$2,796.00 ",SCA0000074234
1,M015,P.S. 15 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,6/28/2024,DOER,,DOER,"$206,654.00 ",$0.00 ,DSF0001086173
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,2/19/2024,DOES,,DOES,"$814,540.00 ",$0.00 ,DSF0001017369
2,M017,P.S. 212 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,"$40,000.00 ",$0.00 ,DSF0000961572
2,M017,P.S. 212 - MANHATTAN,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,"$250,000.00 ",$0.00 ,DSF0001112759
2,M017,P.S. 212 - MANHATTAN,DOE - RESOA,FY16 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,6/8/2024,DOER,,DOER,"$270,785.00 ",$0.00 ,DSF0000822765
2,M017,P.S. 212 - MANHATTAN,DOE - RESOA,FY20 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,10/17/2022,DOER,,DOER,"$39,884.00 ",$0.00 ,DSF0000913298
2,M017,P.P.A.S. - MANHATTAN,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,"$94,776.00 ",$0.00 ,DSF0001086174
2,M017,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,4/18/2025,3/13/2026,,53965,"$32,341.00 ","$5,233.00 ",DSF0001087467
2,M017,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,4/18/2025,3/13/2026,,291160,"$264,539.00 ","$3,189.00 ",DSF0001087467
2,M017,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,4/16/2024,10/10/2024,9/25/2024,22590,"$8,002.00 ","$8,002.00 ",DSF0001087467
2,M017,P.P.A.S. - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/28/2024,7/29/2024,4/16/2024,5020,"$2,001.00 ","$2,001.00 ",DSF0001087467
2,M017,P.S. 212 - MANHATTAN,SCA IEH,PO18-ABATEMENT NEEDED AT THE FOLLOWING LOCATIONS: RM #301: DAMAGED 9X9 FLOOR TILES. RM #012: STEAM L,Construction,Complete,2/12/2025,IEH,3/2/2025,IEH,"$47,980.00 ","$47,980.00 ",SCA0000073912
2,M017,P.S. 212 - MANHATTAN,SCA IEH,"PO18-ABATE WALL PLASTER BSMNT AUDITORIUM/STAGE TO FIX THE LEAK APPROXIMATELY 700 SQ. FT., THE BACK W",Construction,Complete,12/16/2024,IEH,5/8/2025,IEH,$914.00 ,$164.00 ,SCA0000073713
2,M017,P.S. 212 - MANHATTAN,SCA IEH,PO18-REMOVE AND REPLACE APPROX. 24LF OF DAMAGED ACM PIPE AND ELBOW INSULATION IN BASEMENT BOY'S BATH,Construction,Complete,2/10/2025,IEH,3/9/2025,IEH,"$1,435.00 ","$1,435.00 ",SCA0000073894
2,M017,P.S. 212 - MANHATTAN,SCA IEH,PO18-ABATE AND REPAIR ALL DAMAGED ACM PIPE INSULATION AND FITTINGS IN ROOM 205.,Construction,Complete,4/11/2025,IEH,4/12/2025,IEH,"$24,763.00 ",$837.00 ,SCA0000074142
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$65,000.00 ",$0.00 ,DSF0001086175
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,12/23/2024,DOER,,DOER,"$141,466.00 ",$0.00 ,DSF0001035064
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,480620,"$217,101.00 ","$216,736.00 ","DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/27/2024,5/26/2025,,173602,"$156,315.00 ","$79,701.00 ",DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/27/2024,5/26/2025,,245920,"$220,616.00 ","$122,929.00 ",DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/18/2022,7/16/2024,,7724250,"$7,200,616.00 ","$6,118,325.00 ","DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/6/2023,1/3/2024,12/13/2023,19080,"$10,525.00 ","$10,525.00 ",DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/6/2021,12/7/2021,11/29/2021,343300,"$396,588.00 ","$345,117.00 ","DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/13/2021,9/13/2021,7/1/2021,68660,"$79,351.00 ","$79,351.00 ","DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/22/2023,10/23/2023,7/6/2023,4240,"$2,631.00 ","$2,631.00 ",DSF0001035045
1,M019,P.S. 315 - MANHATTAN,SCA IEH,PO18-SECOND FLOOR STAIRCASE ABATE 6 SQ. FT. MISSING FLOOR TILES - ROOM 217 ABATE 4 SQ. FT. MISSING F,Construction,In-Progress,3/14/2025,IEH,,IEH,$921.00 ,$171.00 ,SCA0000074064
1,M019,P.S. 315 - MANHATTAN,SCA IEH,PO18-FOLLOWING AREAS HAVE BEEN IDENTIFIED DURING THE AHERA PERIODIC SURVEILLANCE  AS REQUIRING RESPO,Construction,In-Progress,6/4/2025,IEH,,IEH,$750.00 ,$0.00 ,SCA0000074344
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/7/2021,DOES,,DOES,"$195,021.00 ",$0.00 ,DSF0001008690
1,M020,P.S. 20 - MANHATTAN,Fast Track Projects,IPDVS INSTALLATIONS,Construction,In-Progress,12/27/2024,FTK,,FTK,"$2,799.00 ","$2,799.00 ",DSF0001087468
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,DIIR,,DIIR,"$50,000.00 ",$0.00 ,DSF0001033717
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,"$265,000.00 ",$0.00 ,DSF0001112760
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/6/2021,DOER,,DOER,"$80,736.00 ",$0.00 ,DSF0000961298
1,M022,NEW EXPLORATIONS - M,Fast Track Projects,LSP- VACUUM PUMPS REPLACEMENTS,Construction,Complete,2/8/2024,FTK,3/31/2025,FTK,"$186,188.00 ","$130,500.00 ",DSF0001068167
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,1378813,"$478,741.00 ","$426,220.00 ","DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,8/7/2023,8/5/2025,,21999375,"$21,431,017.00 ","$15,554,162.00 ","DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,"$611,348.00 ","$500,401.00 ","DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,"$194,302.00 ","$191,707.00 ","DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,6000,"$6,000.00 ","$4,181.00 ",DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,"$88,000.00 ","$1,128.00 ",DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,6000,"$5,372.00 ","$5,372.00 ",DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,3/5/2024,6/3/2024,,0,"$7,108.00 ","$1,343.00 ",DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA IEH,PO18-ABATE PIPE INSULATION IN GIRL LOCKER ROOM CEILING DUE TO STEAM LEAK IT IS 8 FEET OF ACM.  SPACE,Construction,Complete,2/1/2025,IEH,2/2/2025,IEH,"$15,488.00 ",$103.00 ,SCA0000074270
1,M025,I.S. 378 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/22/2024,DOES,,DOES,"$593,902.00 ",$0.00 ,DSF0001085731
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,234139,"$264,114.00 ","$258,690.00 ",DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,201929,"$188,076.00 ","$160,751.00 ",DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,"$17,800.00 ","$17,800.00 ",DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,"$4,450.00 ","$4,450.00 ",DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA IEH,PO18-REMOVE 4 SQ. FEET OF FLOOR TILE ALONG WITH FLOOR CONTAINING SOFT CONCRETE FILLER FLOOR MATERIAL,Construction,Complete,1/22/2025,IEH,3/23/2025,IEH,"$43,085.00 ","$1,989.00 ",SCA0000073824
6,M028,P.S. 28 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$150,000.00 ",$0.00 ,DSF0001035622
6,M028,P.S. 28 - MANHATTAN,SCA CIP,WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,115077,"$115,077.00 ","$8,603.00 ","DSF0001083877, DSF0001085604"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,1112610,"$1,112,610.00 ","$4,968.00 ","DSF0001083877, DSF0001085604"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,7/17/2023,12/18/2023,12/15/2023,61790,"$86,849.00 ","$85,701.00 ","DSF0001083877, DSF0001085604"
6,M028,P.S. 28 - MANHATTAN,SCA CIP,WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,3/7/2023,7/21/2023,6/26/2023,13000,"$14,831.00 ","$14,831.00 ","DSF0001083877, DSF0001085604"
6,M028,P.S. 28 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113601
6,M028,P.S. 28 - MANHATTAN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,30000,"$30,000.00 ",$0.00 ,DSF0001112761
6,M028,P.S. 28 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113601
6,M028,P.S. 28 - MANHATTAN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,"$440,000.00 ",$0.00 ,DSF0001112761
6,M028,P.S. 28 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113601
6,M028,P.S. 28 - MANHATTAN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,30000,"$16,762.00 ","$4,870.00 ",DSF0001112761
6,M028,P.S. 28 - MANHATTAN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,2/12/2025,5/13/2025,,0,"$13,238.00 ","$1,217.00 ",DSF0001112761
6,M028,P.S. 28 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113601
6,M028,P.S. 28 - MANHATTAN,SCA IEH,PO18-REPLACE ASBESTOS FLOOR TILES IN RM 145F & G DENTAL CLINIC IS 400 SQ. FT. ALSO ROOM 125B & D NUR,Construction,Complete,2/7/2025,IEH,3/20/2025,IEH,"$39,499.00 ",$285.00 ,SCA0000073883
5,M030,M138 SPED - MANHATTAN,DOE - RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$175,000.00 ",$0.00 ,DSF0001112762
5,M030,P.S. 30 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,2389588,"$2,389,588.00 ","$128,132.00 ","DSF0001083892, DSF0001111794"
5,M030,P.S. 30 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Construction,PNS,PNS,PNS,PNS,38404094,"$38,404,094.00 ","$195,451.00 ","DSF0001083892, DSF0001111794"
5,M030,P.S. 30 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Design,In-Progress,2/3/2025,7/30/2025,,1706849,"$1,706,849.00 ","$1,116,760.00 ","DSF0001083892, DSF0001111794"
5,M030,P.S. 30 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Scope,Complete,11/15/2024,4/18/2025,1/31/2025,341369,"$328,619.00 ","$277,151.00 ","DSF0001083892, DSF0001111794"
5,M030,M138 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113602
5,M030,M138 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113602
5,M030,M138 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113602
5,M030,M138 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113602
